curie	type	label	parent	parent label	role	role label	function types	description	modified date
ID	TYPE	AT rdfs:label^^xsd:string	SC %		SC 'has role' some %		SC 'has function type' some % SPLIT=|	AT dcterms:description^^xsd:string	AT dcterms:modified^^xsd:date
BSEO:0000061	class	admm-2	BSEO:0100033	jensen	BSEO:0200001	admmfit	BSEO:0300001|BSEO:0300002	Auxiliary basis with diffuse functions for use with pcseg-2 and the Auxiliary-Density Matrix Method (ADMM)	2019-01-07
BSEO:0000062	class	admm-3	BSEO:0100033	jensen	BSEO:0200001	admmfit	BSEO:0300001|BSEO:0300002	Auxiliary basis with diffuse functions for use with pcseg-3 and the Auxiliary-Density Matrix Method (ADMM)	2019-01-07
BSEO:0000063	class	AHGBS-5	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-5} without polarization, with more diffuse functions	2021-02-01
BSEO:0000064	class	AHGBS-7	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-7} without polarization, with more diffuse functions	2021-02-01
BSEO:0000065	class	AHGBS-9	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-9} without polarization, with more diffuse functions	2020-05-05
BSEO:0000066	class	AHGBSP1-5	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-5} with 1 polarization shell, with more diffuse functions	2021-02-01
BSEO:0000067	class	AHGBSP1-7	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-7} with 1 polarization shell, with more diffuse functions	2021-02-01
BSEO:0000068	class	AHGBSP1-9	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-9} with 1 polarization shell, with more diffuse functions	2020-05-05
BSEO:0000069	class	AHGBSP2-5	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-5} with 2 polarization shells, with more diffuse functions	2021-02-01
BSEO:0000070	class	AHGBSP2-7	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-7} with 2 polarization shells, with more diffuse functions	2021-02-01
BSEO:0000071	class	AHGBSP2-9	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-9} with 2 polarization shells, with more diffuse functions	2020-05-05
BSEO:0000072	class	AHGBSP3-5	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-5} with 3 polarization shells, with more diffuse functions	2021-02-01
