ID	TYPE	basis set	element	element CURIE	element name
BSEO:0000007	class	3ZaPa-NR-CV	8	CHEBI:25805	oxygen
BSEO:0000007	class	3ZaPa-NR-CV	9	CHEBI:24061	fluorine
BSEO:0000007	class	3ZaPa-NR-CV	10	CHEBI:33310	neon
BSEO:0000007	class	3ZaPa-NR-CV	11	CHEBI:26708	sodium
BSEO:0000007	class	3ZaPa-NR-CV	12	CHEBI:25107	magnesium
BSEO:0000007	class	3ZaPa-NR-CV	13	CHEBI:28984	aluminium
BSEO:0000007	class	3ZaPa-NR-CV	14	CHEBI:27573	silicon
BSEO:0000007	class	3ZaPa-NR-CV	15	CHEBI:28659	phosphorus
BSEO:0000007	class	3ZaPa-NR-CV	16	CHEBI:26833	sulfur
BSEO:0000007	class	3ZaPa-NR-CV	17	CHEBI:23116	chlorine
BSEO:0000007	class	3ZaPa-NR-CV	18	CHEBI:49475	argon
BSEO:0000008	class	4-31G	1	CHEBI:49637	hydrogen
BSEO:0000008	class	4-31G	2	CHEBI:30217	helium
BSEO:0000008	class	4-31G	3	CHEBI:30145	lithium
BSEO:0000008	class	4-31G	4	CHEBI:30501	beryllium
BSEO:0000008	class	4-31G	5	CHEBI:27560	boron
BSEO:0000008	class	4-31G	6	CHEBI:27594	carbon
BSEO:0000008	class	4-31G	7	CHEBI:25555	nitrogen
BSEO:0000008	class	4-31G	8	CHEBI:25805	oxygen
BSEO:0000008	class	4-31G	9	CHEBI:24061	fluorine
BSEO:0000008	class	4-31G	10	CHEBI:33310	neon
BSEO:0000008	class	4-31G	15	CHEBI:28659	phosphorus
BSEO:0000008	class	4-31G	16	CHEBI:26833	sulfur
BSEO:0000008	class	4-31G	17	CHEBI:23116	chlorine
BSEO:0000009	class	4ZaP	1	CHEBI:49637	hydrogen
BSEO:0000009	class	4ZaP	6	CHEBI:27594	carbon
BSEO:0000009	class	4ZaP	7	CHEBI:25555	nitrogen
BSEO:0000009	class	4ZaP	8	CHEBI:25805	oxygen
BSEO:0000009	class	4ZaP	9	CHEBI:24061	fluorine
BSEO:0000010	class	4ZaPa-NR	1	CHEBI:49637	hydrogen
BSEO:0000010	class	4ZaPa-NR	2	CHEBI:30217	helium
BSEO:0000010	class	4ZaPa-NR	3	CHEBI:30145	lithium
BSEO:0000010	class	4ZaPa-NR	4	CHEBI:30501	beryllium
BSEO:0000010	class	4ZaPa-NR	5	CHEBI:27560	boron
BSEO:0000010	class	4ZaPa-NR	6	CHEBI:27594	carbon
BSEO:0000010	class	4ZaPa-NR	7	CHEBI:25555	nitrogen
BSEO:0000010	class	4ZaPa-NR	8	CHEBI:25805	oxygen
BSEO:0000010	class	4ZaPa-NR	9	CHEBI:24061	fluorine
BSEO:0000010	class	4ZaPa-NR	10	CHEBI:33310	neon
BSEO:0000010	class	4ZaPa-NR	11	CHEBI:26708	sodium
BSEO:0000010	class	4ZaPa-NR	12	CHEBI:25107	magnesium
BSEO:0000010	class	4ZaPa-NR	13	CHEBI:28984	aluminium
BSEO:0000010	class	4ZaPa-NR	14	CHEBI:27573	silicon
