basis set	element	element CURIE	element name
4ZaPa-NR	12	CHEBI:25107	magnesium
4ZaPa-NR	13	CHEBI:28984	aluminium
4ZaPa-NR	14	CHEBI:27573	silicon
4ZaPa-NR	15	CHEBI:28659	phosphorus
4ZaPa-NR	16	CHEBI:26833	sulfur
4ZaPa-NR	17	CHEBI:23116	chlorine
4ZaPa-NR	18	CHEBI:49475	argon
4ZaPa-NR-CV	1	CHEBI:49637	hydrogen
4ZaPa-NR-CV	2	CHEBI:30217	helium
4ZaPa-NR-CV	3	CHEBI:30145	lithium
4ZaPa-NR-CV	4	CHEBI:30501	beryllium
4ZaPa-NR-CV	5	CHEBI:27560	boron
4ZaPa-NR-CV	6	CHEBI:27594	carbon
4ZaPa-NR-CV	7	CHEBI:25555	nitrogen
4ZaPa-NR-CV	8	CHEBI:25805	oxygen
4ZaPa-NR-CV	9	CHEBI:24061	fluorine
4ZaPa-NR-CV	10	CHEBI:33310	neon
4ZaPa-NR-CV	11	CHEBI:26708	sodium
4ZaPa-NR-CV	12	CHEBI:25107	magnesium
4ZaPa-NR-CV	13	CHEBI:28984	aluminium
4ZaPa-NR-CV	14	CHEBI:27573	silicon
4ZaPa-NR-CV	15	CHEBI:28659	phosphorus
4ZaPa-NR-CV	16	CHEBI:26833	sulfur
4ZaPa-NR-CV	17	CHEBI:23116	chlorine
4ZaPa-NR-CV	18	CHEBI:49475	argon
4ZaPa-NR-CV	1	CHEBI:49637	hydrogen
4ZaPa-NR-CV	2	CHEBI:30217	helium
4ZaPa-NR-CV	3	CHEBI:30145	lithium
4ZaPa-NR-CV	4	CHEBI:30501	beryllium
4ZaPa-NR-CV	5	CHEBI:27560	boron
4ZaPa-NR-CV	6	CHEBI:27594	carbon
4ZaPa-NR-CV	7	CHEBI:25555	nitrogen
4ZaPa-NR-CV	8	CHEBI:25805	oxygen
4ZaPa-NR-CV	9	CHEBI:24061	fluorine
4ZaPa-NR-CV	10	CHEBI:33310	neon
4ZaPa-NR-CV	11	CHEBI:26708	sodium
4ZaPa-NR-CV	12	CHEBI:25107	magnesium
4ZaPa-NR-CV	13	CHEBI:28984	aluminium
4ZaPa-NR-CV	14	CHEBI:27573	silicon
4ZaPa-NR-CV	15	CHEBI:28659	phosphorus
4ZaPa-NR-CV	16	CHEBI:26833	sulfur
4ZaPa-NR-CV	17	CHEBI:23116	chlorine
4ZaPa-NR-CV	18	CHEBI:49475	argon
5-21G	1	CHEBI:49637	hydrogen
5-21G	2	CHEBI:30217	helium
5-21G	3	CHEBI:30145	lithium
5-21G	4	CHEBI:30501	beryllium
5ZaP	1	CHEBI:49637	hydrogen
5ZaP	6	CHEBI:27594	carbon
5ZaP	7	CHEBI:25555	nitrogen
5ZaP	8	CHEBI:25805	oxygen
5ZaP	9	CHEBI:24061	fluorine
5ZaPa-NR	1	CHEBI:49637	hydrogen
5ZaPa-NR	2	CHEBI:30217	helium
5ZaPa-NR	3	CHEBI:30145	lithium
5ZaPa-NR	4	CHEBI:30501	beryllium
5ZaPa-NR	5	CHEBI:27560	boron
5ZaPa-NR	6	CHEBI:27594	carbon
5ZaPa-NR	7	CHEBI:25555	nitrogen
5ZaPa-NR	8	CHEBI:25805	oxygen
5ZaPa-NR	9	CHEBI:24061	fluorine
5ZaPa-NR	10	CHEBI:33310	neon
5ZaPa-NR	11	CHEBI:26708	sodium
5ZaPa-NR	12	CHEBI:25107	magnesium
5ZaPa-NR	13	CHEBI:28984	aluminium
5ZaPa-NR	14	CHEBI:27573	silicon
5ZaPa-NR	15	CHEBI:28659	phosphorus
5ZaPa-NR	16	CHEBI:26833	sulfur
5ZaPa-NR	17	CHEBI:23116	chlorine
5ZaPa-NR	18	CHEBI:49475	argon
5ZaPa-NR	1	CHEBI:49637	hydrogen
5ZaPa-NR	2	CHEBI:30217	helium
5ZaPa-NR	3	CHEBI:30145	lithium
5ZaPa-NR	4	CHEBI:30501	beryllium
5ZaPa-NR	5	CHEBI:27560	boron
5ZaPa-NR	6	CHEBI:27594	carbon
5ZaPa-NR	7	CHEBI:25555	nitrogen
5ZaPa-NR	8	CHEBI:25805	oxygen
5ZaPa-NR	9	CHEBI:24061	fluorine
5ZaPa-NR	10	CHEBI:33310	neon
5ZaPa-NR	11	CHEBI:26708	sodium
5ZaPa-NR	12	CHEBI:25107	magnesium
5ZaPa-NR	13	CHEBI:28984	aluminium
5ZaPa-NR	14	CHEBI:27573	silicon
5ZaPa-NR	15	CHEBI:28659	phosphorus
5ZaPa-NR	16	CHEBI:26833	sulfur
5ZaPa-NR	17	CHEBI:23116	chlorine
5ZaPa-NR	18	CHEBI:49475	argon
5ZaPa-NR-CV	1	CHEBI:49637	hydrogen
5ZaPa-NR-CV	2	CHEBI:30217	helium
5ZaPa-NR-CV	3	CHEBI:30145	lithium
5ZaPa-NR-CV	4	CHEBI:30501	beryllium
5ZaPa-NR-CV	5	CHEBI:27560	boron
5ZaPa-NR-CV	6	CHEBI:27594	carbon
5ZaPa-NR-CV	7	CHEBI:25555	nitrogen
5ZaPa-NR-CV	8	CHEBI:25805	oxygen
5ZaPa-NR-CV	9	CHEBI:24061	fluorine
5ZaPa-NR-CV	10	CHEBI:33310	neon
5ZaPa-NR-CV	11	CHEBI:26708	sodium
5ZaPa-NR-CV	12	CHEBI:25107	magnesium
5ZaPa-NR-CV	13	CHEBI:28984	aluminium
5ZaPa-NR-CV	14	CHEBI:27573	silicon
5ZaPa-NR-CV	15	CHEBI:28659	phosphorus
5ZaPa-NR-CV	16	CHEBI:26833	sulfur
5ZaPa-NR-CV	17	CHEBI:23116	chlorine
5ZaPa-NR-CV	18	CHEBI:49475	argon
5ZaPa-NR-CV	1	CHEBI:49637	hydrogen
5ZaPa-NR-CV	2	CHEBI:30217	helium
5ZaPa-NR-CV	3	CHEBI:30145	lithium
5ZaPa-NR-CV	4	CHEBI:30501	beryllium
5ZaPa-NR-CV	5	CHEBI:27560	boron
5ZaPa-NR-CV	6	CHEBI:27594	carbon
5ZaPa-NR-CV	7	CHEBI:25555	nitrogen
5ZaPa-NR-CV	8	CHEBI:25805	oxygen
5ZaPa-NR-CV	9	CHEBI:24061	fluorine
5ZaPa-NR-CV	10	CHEBI:33310	neon
5ZaPa-NR-CV	11	CHEBI:26708	sodium
5ZaPa-NR-CV	12	CHEBI:25107	magnesium
5ZaPa-NR-CV	13	CHEBI:28984	aluminium
5ZaPa-NR-CV	14	CHEBI:27573	silicon
5ZaPa-NR-CV	15	CHEBI:28659	phosphorus
5ZaPa-NR-CV	16	CHEBI:26833	sulfur
5ZaPa-NR-CV	17	CHEBI:23116	chlorine
5ZaPa-NR-CV	18	CHEBI:49475	argon
6-21G	1	CHEBI:49637	hydrogen
6-21G	2	CHEBI:30217	helium
6-21G	3	CHEBI:30145	lithium
6-21G	4	CHEBI:30501	beryllium
6-21G	5	CHEBI:27560	boron
6-21G	6	CHEBI:27594	carbon
6-21G	7	CHEBI:25555	nitrogen
6-21G	8	CHEBI:25805	oxygen
6-21G	9	CHEBI:24061	fluorine
6-21G	10	CHEBI:33310	neon
6-21G	11	CHEBI:26708	sodium
6-21G	12	CHEBI:25107	magnesium
6-21G	13	CHEBI:28984	aluminium
6-21G	14	CHEBI:27573	silicon
6-21G	15	CHEBI:28659	phosphorus
6-21G	16	CHEBI:26833	sulfur
6-21G	17	CHEBI:23116	chlorine
6-21G	18	CHEBI:49475	argon
6-31++G	1	CHEBI:49637	hydrogen
6-31++G	3	CHEBI:30145	lithium
6-31++G	4	CHEBI:30501	beryllium
6-31++G	5	CHEBI:27560	boron
6-31++G	6	CHEBI:27594	carbon
6-31++G	7	CHEBI:25555	nitrogen
6-31++G	8	CHEBI:25805	oxygen
6-31++G	9	CHEBI:24061	fluorine
6-31++G	10	CHEBI:33310	neon
6-31++G	11	CHEBI:26708	sodium
6-31++G	12	CHEBI:25107	magnesium
6-31++G	13	CHEBI:28984	aluminium
6-31++G	14	CHEBI:27573	silicon
6-31++G	15	CHEBI:28659	phosphorus
6-31++G	16	CHEBI:26833	sulfur
6-31++G	17	CHEBI:23116	chlorine
6-31++G	18	CHEBI:49475	argon
6-31++G	19	CHEBI:26216	potassium
6-31++G	20	CHEBI:22984	calcium
6-31++G	1	CHEBI:49637	hydrogen
6-31++G	2	CHEBI:30217	helium
6-31++G	3	CHEBI:30145	lithium
6-31++G	4	CHEBI:30501	beryllium
6-31++G	5	CHEBI:27560	boron
6-31++G	6	CHEBI:27594	carbon
6-31++G	7	CHEBI:25555	nitrogen
6-31++G	8	CHEBI:25805	oxygen
6-31++G	9	CHEBI:24061	fluorine
6-31++G	10	CHEBI:33310	neon
6-31++G	11	CHEBI:26708	sodium
6-31++G	12	CHEBI:25107	magnesium
6-31++G	13	CHEBI:28984	aluminium
6-31++G	14	CHEBI:27573	silicon
6-31++G	15	CHEBI:28659	phosphorus
6-31++G	16	CHEBI:26833	sulfur
6-31++G	17	CHEBI:23116	chlorine
6-31++G	18	CHEBI:49475	argon
6-31++G*	1	CHEBI:49637	hydrogen
6-31++G*	2	CHEBI:30217	helium
6-31++G*	3	CHEBI:30145	lithium
6-31++G*	4	CHEBI:30501	beryllium
6-31++G*	5	CHEBI:27560	boron
6-31++G*	6	CHEBI:27594	carbon
6-31++G*	7	CHEBI:25555	nitrogen
6-31++G*	8	CHEBI:25805	oxygen
6-31++G*	9	CHEBI:24061	fluorine
6-31++G*	10	CHEBI:33310	neon
