curie	type	label
BSEO:0000269	class	cc-pCVQZ-F12-RIFIT
BSEO:0000270	class	cc-pCVTZ
BSEO:0000271	class	cc-pCVTZ-DK
BSEO:0000272	class	cc-pCVTZ-F12
BSEO:0000273	class	cc-pCVTZ-F12-OPTRI
BSEO:0000274	class	cc-pCVTZ-F12-RIFIT
BSEO:0000275	class	cc-pV(5+d)Z
BSEO:0000276	class	cc-pV(D+d)Z
BSEO:0000277	class	cc-pV(Q+d)Z
BSEO:0000278	class	cc-pV(T+d)Z
BSEO:0000279	class	cc-pV5Z
BSEO:0000280	class	cc-pV5Z(fi/sf/fw)
BSEO:0000281	class	cc-pV5Z(fi/sf/lc)
BSEO:0000282	class	cc-pV5Z(fi/sf/sc)
BSEO:0000283	class	cc-pV5Z(pt/sf/fw)
BSEO:0000284	class	cc-pV5Z(pt/sf/lc)
BSEO:0000285	class	cc-pV5Z(pt/sf/sc)
BSEO:0000286	class	cc-pV5Z-DK
BSEO:0000287	class	cc-pV5Z-F12
BSEO:0000288	class	cc-pV5Z-F12(rev2)
BSEO:0000289	class	cc-pV5Z-JKFIT
BSEO:0000290	class	cc-pV5Z-PP
BSEO:0000291	class	cc-pV5Z-PP-RIFIT
BSEO:0000292	class	cc-pV5Z-RIFIT
BSEO:0000293	class	cc-pV6Z
BSEO:0000294	class	cc-pV6Z-RIFIT
BSEO:0000295	class	cc-pV8Z
BSEO:0000296	class	cc-pV9Z
BSEO:0000297	class	cc-pVDZ
BSEO:0000298	class	cc-pVDZ(fi/sf/fw)
BSEO:0000299	class	cc-pVDZ(fi/sf/lc)
BSEO:0000300	class	cc-pVDZ(fi/sf/sc)
BSEO:0000301	class	cc-pVDZ(pt/sf/fw)
BSEO:0000302	class	cc-pVDZ(pt/sf/lc)
BSEO:0000303	class	cc-pVDZ(pt/sf/sc)
BSEO:0000304	class	cc-pVDZ(seg-opt)
BSEO:0000305	class	cc-pVDZ-DK
BSEO:0000306	class	cc-pVDZ-DK3
BSEO:0000307	class	cc-pVDZ-F12
BSEO:0000308	class	cc-pVDZ-F12(rev2)
BSEO:0000309	class	cc-pVDZ-F12-OPTRI
BSEO:0000310	class	cc-pVDZ-F12-OPTRI+
BSEO:0000311	class	cc-pVDZ-PP
BSEO:0000312	class	cc-pVDZ-PP-RIFIT
BSEO:0000313	class	cc-pVDZ-RIFIT
BSEO:0000314	class	cc-pVDZ-X2C
BSEO:0000315	class	cc-pVQZ
BSEO:0000316	class	cc-pVQZ(fi/sf/fw)
BSEO:0000317	class	cc-pVQZ(fi/sf/lc)
BSEO:0000318	class	cc-pVQZ(fi/sf/sc)
BSEO:0000319	class	cc-pVQZ(pt/sf/fw)
BSEO:0000320	class	cc-pVQZ(pt/sf/lc)
BSEO:0000321	class	cc-pVQZ(pt/sf/sc)
BSEO:0000322	class	cc-pVQZ(seg-opt)
BSEO:0000323	class	cc-pVQZ-DK
BSEO:0000324	class	cc-pVQZ-DK3
BSEO:0000325	class	cc-pVQZ-F12
BSEO:0000326	class	cc-pVQZ-F12(rev2)
BSEO:0000327	class	cc-pVQZ-F12-OPTRI
BSEO:0000328	class	cc-pVQZ-F12-OPTRI+
BSEO:0000329	class	cc-pVQZ-JKFIT
BSEO:0000330	class	cc-pVQZ-PP
BSEO:0000331	class	cc-pVQZ-PP-RIFIT
BSEO:0000332	class	cc-pVQZ-RIFIT
BSEO:0000333	class	cc-pVQZ-X2C
BSEO:0000334	class	cc-pVTZ
BSEO:0000335	class	cc-pVTZ(fi/sf/fw)
BSEO:0000336	class	cc-pVTZ(fi/sf/lc)
BSEO:0000337	class	cc-pVTZ(fi/sf/sc)
BSEO:0000338	class	cc-pVTZ(pt/sf/fw)
BSEO:0000339	class	cc-pVTZ(pt/sf/lc)
BSEO:0000340	class	cc-pVTZ(pt/sf/sc)
BSEO:0000341	class	cc-pVTZ(seg-opt)
BSEO:0000342	class	cc-pVTZ-DK
BSEO:0000343	class	cc-pVTZ-DK3
BSEO:0000344	class	cc-pVTZ-F12
BSEO:0000345	class	cc-pVTZ-F12(rev2)
BSEO:0000346	class	cc-pVTZ-F12-OPTRI
BSEO:0000347	class	cc-pVTZ-F12-OPTRI+
BSEO:0000348	class	cc-pVTZ-JKFIT
BSEO:0000349	class	cc-pVTZ-PP
BSEO:0000350	class	cc-pVTZ-PP-RIFIT
BSEO:0000351	class	cc-pVTZ-RIFIT
BSEO:0000352	class	cc-pVTZ-X2C
BSEO:0000353	class	cc-pwCV5Z
BSEO:0000354	class	cc-pwCV5Z-DK
BSEO:0000355	class	cc-pwCV5Z-PP
BSEO:0000356	class	cc-pwCV5Z-PP-RIFIT
BSEO:0000357	class	cc-pwCV5Z-RIFIT
BSEO:0000358	class	cc-pwCVDZ
BSEO:0000359	class	cc-pwCVDZ-DK3
BSEO:0000360	class	cc-pwCVDZ-PP
BSEO:0000361	class	cc-pwCVDZ-PP-RIFIT
BSEO:0000362	class	cc-pwCVDZ-RIFIT
BSEO:0000363	class	cc-pwCVDZ-X2C
BSEO:0000364	class	cc-pwCVQZ
BSEO:0000365	class	cc-pwCVQZ-DK
BSEO:0000366	class	cc-pwCVQZ-DK3
BSEO:0000367	class	cc-pwCVQZ-PP
BSEO:0000368	class	cc-pwCVQZ-PP-RIFIT
BSEO:0000369	class	cc-pwCVQZ-RIFIT
BSEO:0000370	class	cc-pwCVQZ-X2C
BSEO:0000371	class	cc-pwCVTZ
BSEO:0000372	class	cc-pwCVTZ-DK
BSEO:0000373	class	cc-pwCVTZ-DK3
BSEO:0000374	class	cc-pwCVTZ-PP
BSEO:0000375	class	cc-pwCVTZ-PP-RIFIT
BSEO:0000376	class	cc-pwCVTZ-RIFIT
BSEO:0000377	class	cc-pwCVTZ-X2C
BSEO:0000378	class	ccemd-2
BSEO:0000379	class	ccemd-3
BSEO:0000380	class	ccJ-pV5Z
BSEO:0000381	class	ccJ-pVDZ
BSEO:0000382	class	ccJ-pVQZ
BSEO:0000383	class	ccJ-pVTZ
BSEO:0000384	class	ccX-5Z
BSEO:0000385	class	ccX-DZ
BSEO:0000386	class	ccX-QZ
BSEO:0000387	class	ccX-TZ
BSEO:0000388	class	coemd-2
BSEO:0000389	class	coemd-3
BSEO:0000390	class	coemd-4
BSEO:0000391	class	coemd-ref
BSEO:0000392	class	Cologne DKH2
BSEO:0000393	class	CRENBL
BSEO:0000394	class	CRENBL ECP
BSEO:0000395	class	CRENBS
BSEO:0000396	class	CRENBS ECP
BSEO:0000397	class	d-aug-cc-pV5Z
BSEO:0000398	class	d-aug-cc-pV6Z
BSEO:0000399	class	d-aug-cc-pVDZ
BSEO:0000400	class	d-aug-cc-pVQZ
BSEO:0000401	class	d-aug-cc-pVTZ
BSEO:0000402	class	def2-ECP
BSEO:0000403	class	def2-mTZVP
BSEO:0000404	class	def2-mTZVPP
BSEO:0000405	class	def2-mTZVPP-RIJ
BSEO:0000406	class	def2-QZVP
BSEO:0000407	class	def2-QZVP-RIFIT
BSEO:0000408	class	def2-QZVPD
BSEO:0000409	class	def2-QZVPP
BSEO:0000410	class	def2-QZVPP-RIFIT
BSEO:0000411	class	def2-QZVPPD
BSEO:0000412	class	def2-QZVPPD-RIFIT
BSEO:0000413	class	def2-SV(P)
BSEO:0000414	class	def2-SV(P)-JKFIT
BSEO:0000415	class	def2-SV(P)-RIFIT
BSEO:0000416	class	def2-SVP
BSEO:0000417	class	def2-SVP-RIFIT
BSEO:0000418	class	def2-SVPD
BSEO:0000419	class	def2-SVPD-RIFIT
BSEO:0000420	class	def2-TZVP
BSEO:0000421	class	def2-TZVP-RIFIT
BSEO:0000422	class	def2-TZVPD
BSEO:0000423	class	def2-TZVPD-RIFIT
BSEO:0000424	class	def2-TZVPP
BSEO:0000425	class	def2-TZVPP-RIFIT
BSEO:0000426	class	def2-TZVPPD
BSEO:0000427	class	def2-TZVPPD-RIFIT
BSEO:0000428	class	def2-universal-JFIT
BSEO:0000429	class	def2-universal-JKFIT
BSEO:0000430	class	deMon2k-DZVP-GGA
BSEO:0000431	class	DFO+-NRLMOL
BSEO:0000432	class	DFO-1
BSEO:0000433	class	DFO-1-BHS
BSEO:0000434	class	DFO-2
BSEO:0000435	class	DFO-NRLMOL
